Time,Consumption_kWh
07:30:00,771.6882352941177
07:45:00,764.1235294117647
08:45:00,758.5823529411765
07:15:00,751.7117647058824
11:45:00,747.1294117647059
12:00:00,745.635294117647
09:00:00,743.4588235294118
12:45:00,741.8823529411765
12:30:00,741.5705882352942
11:30:00,734.4882352941177
12:15:00,734.2235294117647
13:00:00,733.3176470588236
07:00:00,733.1058823529412
08:00:00,731.564705882353
09:45:00,731.2176470588236
10:45:00,727.4
10:00:00,725.6941176470589
08:30:00,725.2235294117647
09:30:00,722.3411764705883
11:00:00,722.2176470588236
13:15:00,721.0
10:30:00,719.964705882353
11:15:00,718.6529411764706
13:30:00,716.1823529411764
09:15:00,713.0823529411765
13:45:00,709.3882352941176
10:15:00,705.9
14:30:00,702.9823529411765
14:00:00,701.3764705882353
08:15:00,701.2588235294118
14:15:00,698.7
14:45:00,695.2705882352941
15:00:00,682.4470588235295
15:15:00,663.4294117647058
15:30:00,646.9058823529411
15:45:00,641.6235294117647
16:00:00,615.5823529411765
06:30:00,608.9294117647058
16:15:00,605.0294117647059
16:30:00,603.3764705882353
16:45:00,599.7764705882353
06:45:00,585.3
17:00:00,555.0117647058823
17:15:00,538.935294117647
17:30:00,535.3235294117648
17:45:00,526.3941176470588
06:15:00,466.7647058823529
06:00:00,435.70588235294116
05:45:00,346.79411764705884
05:30:00,335.29411764705884
05:15:00,329.3176470588235
18:00:00,325.48823529411766
05:00:00,325.0176470588235
18:15:00,311.58235294117645
18:30:00,309.06470588235294
04:45:00,307.88823529411764
18:45:00,306.4764705882353
19:00:00,306.44117647058823
19:15:00,303.3588235294118
04:30:00,303.29411764705884
04:15:00,302.55882352941177
04:00:00,301.50588235294117
19:30:00,301.01176470588234
20:00:00,300.8235294117647
19:45:00,299.4117647058824
20:15:00,298.6
20:30:00,295.0529411764706
20:45:00,292.06470588235294
21:00:00,286.1764705882353
21:15:00,281.0882352941176
21:30:00,277.3176470588235
21:45:00,272.8235294117647
03:45:00,268.44117647058823
03:30:00,262.78823529411767
22:00:00,260.48823529411766
22:15:00,256.9647058823529
22:30:00,255.30588235294118
00:00:00,254.74117647058824
23:00:00,254.15882352941176
22:45:00,253.11764705882354
00:15:00,253.08823529411765
01:15:00,250.7764705882353
00:30:00,250.72941176470587
23:15:00,250.11764705882354
03:15:00,249.3235294117647
01:00:00,249.2941176470588
03:00:00,249.2941176470588
00:45:00,249.11764705882354
01:45:00,249.08823529411765
01:30:00,248.99411764705883
23:30:00,248.31764705882352
23:45:00,247.24117647058824
02:45:00,245.55029585798817
02:00:00,243.6449704142012
02:15:00,243.23076923076923
02:30:00,243.07100591715977
