,Date,Monthly_Average,Year,Month,Quarter
8,2020-03-01,669.71,2020,3,Q1
9,2020-04-01,525.16,2020,4,Q2
10,2020-05-01,492.82,2020,5,Q2
11,2020-06-01,701.37,2020,6,Q2
12,2020-07-01,869.18,2020,7,Q3
13,2020-08-01,904.14,2020,8,Q3
14,2020-09-01,1201.03,2020,9,Q3
15,2020-10-01,990.22,2020,10,Q4
16,2020-11-01,1100.49,2020,11,Q4
17,2020-12-01,1355.04,2020,12,Q4
18,2021-01-01,1468.45,2021,1,Q1
19,2021-02-01,1310.11,2021,2,Q1
20,2021-03-01,1406.38,2021,3,Q1
21,2021-04-01,1562.1,2021,4,Q2
22,2021-05-01,1515.42,2021,5,Q2
23,2021-06-01,1911.8,2021,6,Q2
24,2021-07-01,2181.48,2021,7,Q3
25,2021-08-01,2162.43,2021,8,Q3
26,2021-09-01,3292.8,2021,9,Q3
27,2021-10-01,3585.36,2021,10,Q4
28,2021-11-01,4578.96,2021,11,Q4
29,2021-12-01,5781.33,2021,12,Q4
30,2022-01-01,4392.36,2022,1,Q1
31,2022-02-01,3788.77,2022,2,Q1
32,2022-03-01,6535.06,2022,3,Q1
33,2022-04-01,4253.6,2022,4,Q2
34,2022-05-01,4673.48,2022,5,Q2
35,2022-06-01,5556.08,2022,6,Q2
36,2022-07-01,7855.23,2022,7,Q3
37,2022-08-01,11707.04,2022,8,Q3
38,2022-09-01,8980.25,2022,9,Q3
39,2022-10-01,4124.52,2022,10,Q4
40,2022-11-01,4793.49,2022,11,Q4
41,2022-12-01,6093.22,2022,12,Q4
42,2023-01-01,3224.92,2023,1,Q1
43,2023-02-01,3300.43,2023,2,Q1
44,2023-03-01,2624.13,2023,3,Q1
45,2023-04-01,2476.7,2023,4,Q2
46,2023-05-01,2011.32,2023,5,Q2
0,2023-05-01,1419.38,2023,5,Q2
1,2023-06-01,1160.33,2023,6,Q2
47,2023-06-01,2266.72,2023,6,Q2
2,2023-07-01,848.78,2023,7,Q3
48,2023-07-01,2079.77,2023,7,Q3
49,2023-08-01,2228.43,2023,8,Q3
3,2023-08-01,975.33,2023,8,Q3
4,2023-09-01,975.61,2023,9,Q3
50,2023-09-01,2483.92,2023,9,Q3
5,2023-10-01,866.36,2023,10,Q4
51,2023-10-01,2321.08,2023,10,Q4
6,2023-11-01,1073.42,2023,11,Q4
52,2023-11-01,2270.4,2023,11,Q4
53,2023-12-01,1788.17,2023,12,Q4
7,2023-12-01,1026.69,2023,12,Q4
54,2024-01-01,2047.9,2024,1,Q1
55,2024-02-01,1743.11,2024,2,Q1
56,2024-03-01,1650.32,2024,3,Q1
57,2024-04-01,1595.13,2024,4,Q2
58,2024-05-01,1711.44,2024,5,Q2
59,2024-06-01,1921.01,2024,6,Q2
