Date,Monthly_Average
2020-03,669.71
2020-04,525.16
2020-05,492.82
2020-06,701.37
2020-07,869.18
2020-08,904.14
2020-09,1201.03
2020-10,990.22
2020-11,1100.49
2020-12,1355.04
2021-01,1468.45
2021-02,1310.11
2021-03,1406.38
2021-04,1562.1
2021-05,1515.42
2021-06,1911.8
2021-07,2181.48
2021-08,2162.43
2021-09,3292.8
2021-10,3585.36
2021-11,4578.96
2021-12,5781.33
2022-01,4392.36
2022-02,3788.77
2022-03,6535.06
2022-04,4253.6
2022-05,4673.48
2022-06,5556.08
2022-07,7855.23
2022-08,11707.04
2022-09,8980.25
2022-10,4124.52
2022-11,4793.49
2022-12,6093.22
2023-01,3224.92
2023-02,3300.43
2023-03,2624.13
2023-04,2476.7
2023-05,2011.32
2023-06,2266.72
2023-07,2079.77
2023-08,2228.43
2023-09,2483.92
2023-10,2321.08
2023-11,2270.4
2023-12,1788.17
2024-01,2047.9
2024-02,1743.11
2024-03,1650.32
2024-04,1595.13
2024-05,1711.44
2024-06,1921.01
