,category,Měsíční průměry
14,2020-03,669.71
15,2020-04,525.16
16,2020-05,492.82
17,2020-06,701.37
18,2020-07,869.18
19,2020-08,904.14
20,2020-09,1201.03
21,2020-10,990.22
22,2020-11,1100.49
23,2020-12,1355.04
24,2021-01,1468.45
25,2021-02,1310.11
26,2021-03,1406.38
27,2021-04,1562.1
28,2021-05,1515.42
29,2021-06,1911.8
30,2021-07,2181.48
31,2021-08,2162.43
32,2021-09,3292.8
33,2021-10,3585.36
34,2021-11,4578.96
35,2021-12,5781.33
36,2022-01,4392.36
37,2022-02,3788.77
38,2022-03,6535.06
39,2022-04,4253.6
40,2022-05,4673.48
41,2022-06,5556.08
42,2022-07,7855.23
43,2022-08,11707.04
44,2022-09,8980.25
45,2022-10,4124.52
46,2022-11,4793.49
47,2022-12,6093.22
48,2023-01,3224.92
49,2023-02,3300.43
50,2023-03,2624.13
51,2023-04,2476.7
52,2023-05,2011.32
0,2023-05,1419.38
1,2023-06,1160.33
53,2023-06,2266.72
54,2023-07,2079.77
2,2023-07,848.78
3,2023-08,975.33
55,2023-08,2228.43
4,2023-09,975.61
56,2023-09,2483.92
5,2023-10,866.36
57,2023-10,2321.08
6,2023-11,1073.42
58,2023-11,2270.4
7,2023-12,1026.69
59,2023-12,1788.17
8,2024-01,1027.55
60,2024-01,2047.9
9,2024-02,995.19
61,2024-02,1743.11
62,2024-03,1650.32
10,2024-03,1071.78
11,2024-04,950.57
63,2024-04,1595.13
64,2024-05,1711.44
12,2024-05,1054.47
13,2024-06,766.63
65,2024-06,1921.01
